prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region
Mentari Court,2006,460,Petaling Jaya,Apartment,4,,2,771,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
"Rumah sewa, di Sg Cincin, Dekat UIA, UniKL, BMI, IIS",,460,Gombak,Flat,1,1,1,450,Not Furnished,"Parking, Minimart",Cooking Allowed,Selangor
Rajawali Aparment (Bandar Country Homes),,480,Rawang,Apartment,2,,1,700,Not Furnished,"Parking, Security",,Selangor
Rajawali Aparment (Bandar Country Homes),,480,Rawang,Apartment,2,,1,700,Not Furnished,"Parking, Security",,Selangor
Mutiara Ville @ Cyberjaya,2013,499,Cyberjaya,Condominium,1,,1,500,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
Mutiara Ville @ Cyberjaya,2013,499,Cyberjaya,Condominium,1,1,1,500,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
Warisan City View,2005,500,Cheras,Condominium,5,,4,910,Fully Furnished,"Security, Playground, Swimming Pool, Parking, Jogging Track, Minimart, Lift, Gymnasium","Air-Cond, Internet, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
,,500,Cheras,Flat,2,,1,650,Not Furnished,Parking,,Kuala Lumpur
Taman Miharja Apartment (LRT Miharja),,500,Cheras,Flat,1,,1,550,Fully Furnished,"Lift, Playground, Multipurpose hall, Minimart","Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Lestari Apartment,,500,Petaling Jaya,Apartment,3,1,2,650,Not Furnished,"Parking, Playground, Lift, Minimart, Jogging Track, Security, Swimming Pool","Cooking Allowed, Near KTM/LRT",Selangor
Alam Perdana Flat,,500,Puncak Alam,Flat,3,,2,655,Not Furnished,,,Selangor
Apartment jasmin,,500,Puncak Alam,Apartment,3,1,2,760,Not Furnished,"Parking, Playground, Security",,Selangor
,,500,Bandar Sunway,Condominium,3,1,2,1190,Fully Furnished,"Minimart, Squash Court, Playground, Security, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
Vista Perdana (Kajang),,500,Kajang,Apartment,3,,2,754,Not Furnished,Playground,Cooking Allowed,Selangor
Pelangi Damansara,2003,500,Kota Damansara,Apartment,3,1,2,750,Fully Furnished,"Parking, Minimart, Security, Lift, Playground, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
Tembikai Court,,500,Seri Kembangan,Flat,2,,1,613,Not Furnished,"Playground, Parking",Cooking Allowed,Selangor
Residensi Suasana @ Damai,2019,500,Damansara Damai,Condominium,1,1,1,200,Fully Furnished,"Swimming Pool, Gymnasium, Playground, Security, Minimart","Air-Cond, Cooking Allowed, Internet",Selangor
Taman Asa Jaya,,500,Kajang,Apartment,2,,1,500,Fully Furnished,Playground,"Cooking Allowed, Washing Machine",Selangor
Pangsapuri Prima Cempaka,,500,Kajang,Flat,3,,2,750,Not Furnished,,Cooking Allowed,Selangor
Apartment Harmoni,,500,Damansara Damai,Apartment,3,,2,650,Not Furnished,"Parking, Security, Playground, Minimart, Multipurpose hall",Near KTM/LRT,Selangor
Pangsapuri Sri Meranti,,500,Bandar Sri Damansara,Apartment,3,2,2,650,Not Furnished,"Jogging Track, Minimart, Security, Parking, Playground, Lift, Swimming Pool, Multipurpose hall, Barbeque area, Club house","Cooking Allowed, Air-Cond, Near KTM/LRT",Selangor
Apartment Bayu,,500,Petaling Jaya,Apartment,3,1,2,700,Not Furnished,"Security, Parking, Playground, Swimming Pool, Gymnasium, Minimart, Multipurpose hall, Jogging Track","Cooking Allowed, Near KTM/LRT, Air-Cond",Selangor
Perdana Exclusive Condo,2005,500,Damansara Perdana,Condominium,5,,2,950,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track, Tennis Court","Air-Cond, Cooking Allowed, Washing Machine",Selangor
Residensi Suasana @ Damai,2019,500,Damansara Damai,Condominium,1,1,1,200,Fully Furnished,"Minimart, Gymnasium, Security, Playground, Swimming Pool","Air-Cond, Internet, Washing Machine",Selangor
Pangsapuri Sri Meranti,,500,Bandar Sri Damansara,Apartment,3,,2,650,Partially Furnished,"Playground, Jogging Track, Minimart, Parking, Security, Lift, Swimming Pool","Cooking Allowed, Near KTM/LRT, Air-Cond",Selangor
Prima Selayang,,500,Batu Caves,Apartment,3,,1,600,Not Furnished,"Lift, Playground",,Selangor
Prima Selayang,,500,Batu Caves,Flat,3,,1,600,Partially Furnished,"Lift, Playground",,Selangor
Siantan Apartment,,500,Puchong,Apartment,3,2,1,650,Not Furnished,"Parking, Security, Playground",,Selangor
Harmoni Apartment,,500,Damansara Damai,Apartment,3,2,2,650,Partially Furnished,"Parking, Lift, Playground, Security, Swimming Pool, Minimart, Jogging Track","Cooking Allowed, Near KTM/LRT, Air-Cond",Selangor
Pangsapuri Orkid,,500,Shah Alam,Apartment,3,,2,650,Not Furnished,"Parking, Playground",,Selangor
Apartment Dahlia (Rawang),,500,Rawang,Apartment,3,1,2,700,Partially Furnished,"Parking, Jogging Track, Playground",,Selangor
Taman Kuala Selangor Utama,,500,Kuala Selangor,Flat,3,,2,650,Not Furnished,,,Selangor
Harmoni Apartment,,500,Damansara Damai,Apartment,3,1,2,650,Not Furnished,"Parking, Lift, Playground, Swimming Pool, Gymnasium, Minimart, Jogging Track","Cooking Allowed, Near KTM/LRT",Selangor
Pangsapuri Orkid,,500,Shah Alam,Apartment,3,,2,650,Not Furnished,"Parking, Playground",,Selangor
Putra Raya Apartment,,500,Seri Kembangan,Apartment,3,,2,683,Not Furnished,"Parking, Playground, Minimart",,Selangor
Lestari Apartment,,500,Petaling Jaya,Apartment,3,,2,650,Partially Furnished,"Playground, Parking, Lift, Swimming Pool, Minimart, Gymnasium, Jogging Track","Cooking Allowed, Near KTM/LRT",Selangor
Bandar Teknologi Kajang Flat,,500,Semenyih,Flat,1,,1,380,Fully Furnished,,"Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
Teratai Apartment (Taman Bunga Raya),,500,Rawang,Apartment,3,,2,650,Partially Furnished,"Playground, Minimart, Multipurpose hall, Barbeque area",Cooking Allowed,Selangor
Apartmen Harmoni,,500,Petaling Jaya,Apartment,3,,2,650,Partially Furnished,"Security, Parking, Playground, Minimart","Cooking Allowed, Near KTM/LRT",Selangor
Alam Perdana Flat,,500,Puncak Alam,Flat,3,,2,650,Partially Furnished,Parking,,Selangor
Pangsapuri Seri Damai,,500,Puchong,Flat,3,,2,650,Not Furnished,"Playground, Jogging Track, Minimart",,Selangor
Pangsapuri Sri Meranti,,500,Bandar Sri Damansara,Apartment,3,,2,650,Not Furnished,"Jogging Track, Parking, Minimart, Security, Playground, Lift, Gymnasium, Swimming Pool","Cooking Allowed, Near KTM/LRT",Selangor
Rumah Pangsa Sri Muhibbah,,500,Kajang,Flat,3,,1,570,Not Furnished,,Cooking Allowed,Selangor
Taman Cheras Awana Apartment,,500,Cheras,Apartment,2,,1,517,Not Furnished,,Cooking Allowed,Selangor
Azalea Court,,500,Rawang,Flat,3,2,2,1000,Not Furnished,Parking,,Selangor
Flat Taman Dahlia,,500,Sepang,Flat,3,,2,900,Not Furnished,"Parking, Playground",Cooking Allowed,Selangor
Pangsapuri Sri Meranti,,500,Bandar Sri Damansara,Apartment,3,,2,700,Partially Furnished,"Security, Minimart, Parking, Jogging Track, Playground","Cooking Allowed, Near KTM/LRT, Air-Cond",Selangor
Impian Apartment,,500,Damansara Damai,Apartment,3,1,2,700,Not Furnished,"Playground, Barbeque area, Parking, Minimart, Security, Jogging Track","Cooking Allowed, Near KTM/LRT",Selangor
Taman Kajang Mewah,,500,Kajang,Apartment,2,,1,650,Not Furnished,,,Selangor
Azalea Court,,500,Rawang,Flat,3,1,2,720,Not Furnished,,,Selangor
Rumah Pangsa Sri Muhibbah,,500,Kajang,Flat,3,,1,570,Not Furnished,,Cooking Allowed,Selangor
Taman Cheras Awana Apartment,,500,Cheras,Apartment,2,,1,517,Not Furnished,,Cooking Allowed,Selangor
Pangsapuri Seri Sentosa,,500,Puchong,Flat,3,2,2,650,Not Furnished,"Minimart, Parking",Cooking Allowed,Selangor
Pangsapuri Orkid,,500,Shah Alam,Apartment,3,,2,650,Not Furnished,"Playground, Parking",,Selangor
Lakefront Homes @ Cyberjaya,2021,500,Cyberjaya,Condominium,3,2,2,1015,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Sauna, Minimart, Multipurpose hall, Jogging Track",Internet,Selangor
saujana apartment,,500,Damansara Damai,Apartment,3,1,2,650,Partially Furnished,"Parking, Swimming Pool, Jogging Track, Security, Lift, Playground, Minimart, Gymnasium, Barbeque area","Cooking Allowed, Near KTM/LRT",Selangor
Azalea Court,,500,Rawang,Flat,3,3,2,729,Not Furnished,Parking,,Selangor
Pangsapuri Orkid,,500,Shah Alam,Apartment,3,,2,650,Not Furnished,"Parking, Playground",,Selangor
Rumah Pangsa Sri Muhibbah,,500,Kajang,Flat,3,,1,570,Not Furnished,,Cooking Allowed,Selangor
Taman Kajang Indah,,500,Kajang,Flat,2,1,1,500,Not Furnished,,Cooking Allowed,Selangor
Lestari Apartment,,500,Petaling Jaya,Apartment,3,,2,650,Not Furnished,"Parking, Playground, Lift, Minimart, Security, Swimming Pool, Barbeque area, Jogging Track","Cooking Allowed, Near KTM/LRT",Selangor
Sri Indah,,500,Seri Kembangan,Flat,3,,2,650,Not Furnished,,,Selangor
Rajawali Aparment (Bandar Country Homes),,500,Rawang,Apartment,2,,1,700,Not Furnished,"Parking, Security",,Selangor
Pangsapuri Orkid,,500,Shah Alam,Apartment,3,,2,650,Not Furnished,"Parking, Playground",,Selangor
Alam Perdana Flat,,500,Puncak Alam,Flat,3,,2,700,Not Furnished,,,Selangor
Pangsapuri Taman Bukit Rawang Putra,,500,Rawang,Apartment,3,1,2,868,Not Furnished,"Parking, Jogging Track, Security, Playground, Barbeque area, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
Rumah Pangsa Sri Muhibbah,,500,Kajang,Flat,3,,1,570,Not Furnished,,Cooking Allowed,Selangor
Apartment Flat Taman Sentosa Klang,,500,Klang,Flat,3,,1,790,Not Furnished,,,Selangor
Rajawali Aparment (Bandar Country Homes),,500,Rawang,Apartment,2,,1,700,Not Furnished,"Parking, Security",,Selangor
Siantan Apartment,,500,Puchong,Apartment,3,,2,650,Not Furnished,Parking,,Selangor
Pangsapuri Orkid,,500,Shah Alam,Apartment,3,,2,650,Not Furnished,"Parking, Playground",,Selangor
Apartmen Harmoni,,500,Petaling Jaya,Apartment,3,,2,650,Not Furnished,"Swimming Pool, Security, Parking, Lift, Playground, Minimart, Jogging Track","Cooking Allowed, Near KTM/LRT",Selangor
Lagoon Perdana,2021,500,Petaling Jaya,Apartment,3,1,2,852,Partially Furnished,"Multipurpose hall, Security, Playground, Swimming Pool, Gymnasium, Lift, Parking",Washing Machine,Selangor
Birchwood Court,,500,Rawang,Apartment,3,,2,720,Not Furnished,,,Selangor
